building_name,aliases,building_code,construction_year,year_confidence,source,notes
UConn Veterans House,Cordial Storrs House;Veterans Oasis,,1757,low,historicbuildingsct.com,"Circa date; oldest standing structure on/near campus"
Augustus Storrs Hall,Storrs Hall;School of Nursing,,1906,high,knowol.com,"First brick dormitory; opened 1906; later School of Business, now Nursing"
Gulley Hall,Gully Hall,,1908,medium,UConn archives via slideshare,"Administration building"
Benjamin Franklin Koons Hall,Koons Hall,KNS,1912,high,knowol.com,"Originally a dormitory; converted to classroom/office 1952"
Hawley Armory,Willis N. Hawley Armory,,1915,high,historicbuildingsct.com,"Built 1914-1915; largest building on campus at completion"
William Benton Museum of Art,Benton Museum;The Beanery,,1920,high,thebenton.org,"Built 1920 as a dining hall; reopened as art museum 1967"
Beach Hall,,,1930,medium,UConn Archives & Special Collections,"Under construction 1929; completed c.1930"
Wilbur Cross Building,Wilbur Cross;Old Library,WCB,1939,high,today.uconn.edu,"Originally UConn's first standalone library; named 1942"
Wilfred B. Young Building,Young Building,,1953,high,knowol.com,"College of Agriculture"
Jorgensen Center for the Performing Arts,Jorgensen,,1955,high,en.wikipedia.org,"Opened December 1955"
Arjona Building,Arjona,,1959,high,bpir.uconn.edu,"Original classroom building, 4 levels"
Monteith Building,Henry Ruthven Monteith Building;Monteith,MONT,1959,high,bpir.uconn.edu,"Original classroom building; connected to Schenker Lecture Hall"
Homer Babbidge Library,Babbidge Library;HBL,HBL,1978,high,en.wikipedia.org,"Opened October 1978; structure occasionally cited as 1974"
Harry A. Gampel Pavilion,Gampel Pavilion;Gampel,,1990,high,en.wikipedia.org,"POST-CUTOFF. Groundbreaking summer 1987, opened January 1990"
Chemistry Building,Chemistry,,1999,high,chemistry.uconn.edu,"POST-CUTOFF. First building completed under UConn 2000"
NextGen Residence Hall,Next Generation Hall;NextGen Hall,,2016,medium,today.uconn.edu,"POST-CUTOFF. First Next Generation Connecticut building"
